movie_id,name,release_date,revenue,genre
1,Okkadu,2003-07-18,450000000,Action
2,Arjun,2004-01-14,300000000,Action
3,Athadu,2005-10-13,550000000,Action
4,Pokiri,2006-04-28,1200000000,Action
5,Sainikudu,2006-01-12,400000000,Action
6,Chirutha,2007-10-01,350000000,Action
7,Jalsa,2008-01-10,550000000,Action
8,Magadheera,2009-07-31,1500000000,Fantasy Action
9,Brindavanam,2010-10-25,500000000,Romantic Action
10,Dookudu,2011-09-09,1200000000,Action Comedy
11,Businessman,2012-01-12,800000000,Action
12,Eega,2012-07-06,1100000000,Fantasy
13,Julayi,2012-08-09,700000000,Action Comedy
14,Gabbar Singh,2012-04-11,650000000,Action Comedy
15,Baadshah,2013-07-04,900000000,Action Comedy
16,Naayak,2013-04-12,600000000,Action
17,Race Gurram,2014-04-11,1400000000,Action Comedy
18,Temper,2015-01-22,900000000,Action
19,Bahubali: The Beginning,2015-07-10,6500000000,Epic Action
20,S/O Satyamurthy,2015-04-09,550000000,Family Drama
21,Srimanthudu,2015-08-07,1200000000,Drama
22,Nannaku Prematho,2016-01-14,1000000000,Action
23,Sardaar Gabbar Singh,2016-04-08,500000000,Action Comedy
24,Bahubali 2: The Conclusion,2017-04-28,17000000000,Epic Action
25,Khaidi No. 150,2017-01-11,2000000000,Action
26,Fidaa,2017-07-21,450000000,Romantic Drama
27,Mersal,2017-10-18,1200000000,Action
28,DJ: Duvvada Jagannadham,2017-06-23,1100000000,Action Comedy
29,Spyder,2017-09-27,1300000000,Thriller
30,Jai Lava Kusa,2017-09-21,1000000000,Action
31,Rangasthalam,2018-03-30,1500000000,Period Drama
32,Agnyaathavaasi,2018-01-10,1000000000,Action
33,F2: Fun and Frustration,2019-01-12,1300000000,Comedy
34,Maharshi,2019-05-09,1100000000,Drama
35,Saaho,2019-08-30,5000000000,Action Thriller
36,Taxiwaala,2018-11-17,400000000,Supernatural Thriller
37,Dear Comrade,2019-07-26,400000000,Romantic Drama
38,Arjun Reddy,2017-08-25,500000000,Romantic Drama
39,Geetha Govindam,2018-08-15,1000000000,Romantic Comedy
40,Bheeshma,2020-02-21,600000000,Romantic Comedy
41,Ala Vaikunthapurramuloo,2020-01-12,2000000000,Action Drama
42,Krack,2021-01-09,800000000,Action
43,Vakeel Saab,2021-04-09,1200000000,Courtroom Drama
44,Pushpa: The Rise,2021-12-17,3650000000,Action Drama
45,RRR,2022-03-25,12000000000,Period Action
46,Radhe Shyam,2022-03-11,2000000000,Romantic Drama
47,Acharya,2022-05-29,600000000,Action
48,Liger,2022-08-25,700000000,Sports Action
49,Sita Ramam,2022-08-05,2500000000,Romantic Drama
50,Karthikeya 2,2022-08-13,1000000000,Mythological Thriller
51,Bimbisara,2022-08-05,400000000,Fantasy Action
52,Vikrant Rona,2022-07-28,700000000,Action Fantasy
53,Waltair Veerayya,2023-01-12,3000000000,Action Comedy
54,Veera Simha Reddy,2023-01-12,1200000000,Action
55,Tu Jhoothi Main Makkaar,2023-03-08,1600000000,Romantic Comedy
56,Dasara,2023-03-30,1000000000,Period Drama
57,Kisi Ka Bhai Kisi Ki Jaan,2023-04-21,1100000000,Action Comedy
58,Adipurush,2023-06-16,2000000000,Mythological
59,Jawan,2023-09-07,7200000000,Action Thriller
60,Salaar,2023-12-22,3000000000,Action
61,Pushpa 2: The Rule,2024-12-05,18000000000,Action Drama
62,Devara,2024-10-11,2000000000,Action Drama
63,Guntur Kaaram,2024-01-12,600000000,Family Drama
64,Hanu-Man,2024-01-12,2000000000,Superhero
65,Tillu Square,2024-04-12,700000000,Comedy
66,Kalki 2898 AD,2024-06-27,6500000000,Science Fiction
67,The Greatest of All Time,2024-08-05,1800000000,Action
68,Singham Returns,2024-08-15,1800000000,Action
69,Stree 2,2024-08-15,6400000000,Horror Comedy
70,Lucky Baskhar,2024-10-31,2000000000,Thriller
71,Game Changer,2025-01-10,1200000000,Action Drama
72,Thandel,2025-02-07,900000000,Drama
73,OG,2025-04-01,1500000000,Action
74,Dragon,2025-04-10,800000000,Action
75,Okkadu,2003-07-18,450000000,Action
76,Simhadri,2003-11-07,500000000,Action
77,Nuvvu Nenu,2001-07-27,200000000,Romantic
78,Nuvve Kavali,2000-12-22,180000000,Romantic
79,Anandam,2004-08-20,180000000,Romantic
80,Manmadhudu,2002-07-04,350000000,Romantic Comedy
81,Nee Sneham,2002-01-01,130000000,Romantic
82,Varsham,2004-07-07,300000000,Action
83,Chatrapathi,2005-06-10,400000000,Action
84,Bommarillu,2006-10-20,450000000,Romantic Drama
85,Happy Days,2007-12-21,250000000,Drama
86,Kantri,2008-07-11,350000000,Action
87,Aarya,2004-10-08,300000000,Romantic Action
88,Aarya 2,2009-10-02,350000000,Romantic Action
89,Shankar Dada Zindabad,2007-01-11,300000000,Action Comedy
90,Stalin,2006-04-14,250000000,Action
91,Rakhi,2006-11-24,200000000,Action
92,Tagore,2003-07-18,400000000,Action
93,Indra,2002-04-14,600000000,Action
94,Murari,2001-11-02,250000000,Fantasy Drama
95,Takkari Donga,2002-10-04,150000000,Comedy
96,Malliswari,2004-12-02,200000000,Romantic Drama
97,Nuvvu Naku Nachchav,2001-12-08,160000000,Romantic Comedy
